餅,15,29
マカロニ,10,20
餃子の皮,13,18
きりたんぽ,15,22
サーロインステーキ,30,27
牛すじ,14,17
豚バラ,10,39
ささみ,5,6
鴨肉,25,27
フォアグラ,50,56
ハム,6,11
生ハム,20,12
ウインナー,15,29
ベーコン,10,22
サラミ,9,12
ビーフジャーキー,9,11
ローストビーフ,20,12
叉焼,8,10
コンビーフ,13,25
カルビ,19,27
馬肉,19,7
うずら卵,15,17
ビータン,14,10
アスパラガス,5,0
枝豆,3,5
オクラ,7,2
かいわれ大根,1,0
かぼちゃ,9,19
カリフラワー,10,2
キャベツ,4,0
グリーンピース,8,5
ゴーヤ,7,0
とうもろこし,4,3
生姜,10,2
ズッキーニ,8,0
玉ねぎ,8,2
トマト,13,2
なす,5,0
人参,6,5
にんにく,10,5
パプリカ,9,0
ピーマン,8,0
ブロッコリー,12,2
もやし,1,0
小松菜,13,0
ヤングコーン,12,2
そら豆,9,4
大根,14,3
たけのこ,18,2
ニラ,10,0
ほうれん草,17,0
マッシュポテト,10,15
昆布,7,0
水菜,15,0
レタス,9,0
れんこん,14,2
さやいんげん,10,2
サラダ菜,13,0
プロセスチーズ,11,22
カマンベールチーズ,15,17
クリームチーズ,13,18
梅干し,8,2
沢庵,9,2
紅生姜,7,0
穴子,19,27
あんこう,20,27
うなぎ,25,39
サーモン,14,10
きす,15,8
しらす,19,5
たら,10,9
ふぐ,12,7
ツナ,15,15
エリンギ,6,0
椎茸,5,0
しめじ,6,0
マッシュルーム,5,0
松茸,31,0
あさり,9,2
あわび,11,0
牡蠣,13,10
帆立,8,14
いか,9,6
するめ,7,2
エビ,10,5
伊勢海老,34,6
桜えび,23,2
ズワイガニ,37,6
明太子,10,11
かまぼこ,14,12
かにかま,16,3
魚肉ソーセージ,8,9
はんぺん,10,4
キャビア,50,18
ちくわ,12,11
なると,7,8
アーモンド,15,16
カシューナッツ,16,18
くるみ,17,22
栗,20,29
餃子,14,22
キムチ,8,3
たこ,11,2
こんにゃく,5,0
アボカド,10,22
