餅,15,27
マカロニ,10,19
餃子の皮,13,17
きりたんぽ,15,20
サーロインステーキ,30,25
牛すじ,14,16
豚バラ,10,35
ささみ,5,6
鴨肉,25,25
フォアグラ,50,50
ハム,6,11
生ハム,20,12
ウインナー,15,27
ベーコン,10,20
サラミ,9,12
ビーフジャーキー,9,11
ローストビーフ,20,12
叉焼,8,10
コンビーフ,13,23
うずら卵,15,16
ビータン,14,10
アスパラガス,5,2
枝豆,3,5
オクラ,7,3
かいわれ大根,1,1
かぼちゃ,9,18
カリフラワー,10,3
キャベツ,4,2
グリーンピース,8,5
ゴーヤ,7,2
とうもろこし,4,4
生姜,10,3
ズッキーニ,8,1
玉ねぎ,8,3
トマト,13,3
なす,5,2
人参,6,5
にんにく,10,5
パプリカ,9,1
ピーマン,8,1
ブロッコリー,12,3
もやし,1,1
プロセスチーズ,11,20
カマンベールチーズ,15,16
クリームチーズ,13,17
梅干し,8,3
沢庵,9,3
紅生姜,7,2
穴子,19,25
あんこう,20,25
うなぎ,25,35
サーモン,14,10
ツナ,15,14
エリンギ,6,1
椎茸,5,1
しめじ,6,1
マッシュルーム,5,1
松茸,31,1
あさり,9,3
あわび,11,2
牡蠣,13,10
帆立,8,13
いか,9,6
するめ,7,3
エビ,10,5
伊勢海老,34,6
桜えび,23,3
ズワイガニ,37,6
明太子,10,11
かまぼこ,14,12
かにかま,16,4
ちくわ,12,11
なると,7,8
アーモンド,15,15
カシューナッツ,16,17
くるみ,17,20
栗,20,27
餃子,14,20
キムチ,8,4
たこ,11,3
こんにゃく,5,0
アボカド,10,20
